ID	Art	Ven	BgArt	BgVen	
Id80	31022.26977	4110.373563	1280.412371	1378.925	 
Id81	1507.366337	2747.661667	1057.480952	1614.794872	 
Id82	2158.2954	3207.978235	1031.047009	1643.96875	 
Id83	3040.75	4412.189904	1330.022727	1824.607955	 
Id84	24100.62049	5278.120894	1458.890476	1647.128571	 
Id85	1768.968288	3406.62766	1249.238095	2069.995902	 
Id86	6746.855484	7337.986431	1093.82	1755.485	 
Id87	1724.16632	3194.315534	1120.935	1632.280952	 
Id88	3078.166265	4269.712794	1015.138095	1690.1	 
Id89	5967.21509	4159.062201	1129.938095	1447.428571	 
Id90	6020.214286	7196.848797	1075.412088	1379.895604	 
Id91	1803.180272	2740.377816	1044.359375	1228.557143	 
Id92	3420.772512	3353.410714	1119.701031	1477.742268	 
Id93	3106.986765	2721.842105	1015.725	1398.183594	 
Id94	12467.99138	14036.17808	1070.695876	1574.613402	 
Id95	3404.52583	3169.403614	1120.802198	1435.78022	 
Id96	13223.92924	3194.797665	1237.715909	1279.368132	 
Id97	3555.648789	3901.976364	992.06044	1240.857143	 
Id98	2262.775472	2981.964523	987.824176	1295.346591	 
Id99	5841.331924	5002.702869	1085.085227	1563.653846	 
Id100	4508.574578	4147.158554	1050.07	1463.73	 
Id101	7274.055965	7476.974551	1058.231959	1389.546392	 
Id102	16280.63117	5339.990326	1155.314286	1416.895238	 
Id103	13173.32734	5063.365303	1058.59	1419.29	 
Id104	9530.326316	10272.84334	980.915	1440.664948	 
Id105	3048.379464	2833.832381	1073.927835	1433.113402	 
Id106	4175.711835	3270.653595	1366.181319	1579.307692	 
Id107	4429.269297	3596.437895	1216.840659	1490.131868	 
Id108	5743.833094	3776.338462	1184.190722	1538.705	 
Id109	4138.269118	3233.962832	1191.793814	1589.701031	 
Id110	7606.031726	4703.62069	1194.845	1672.819588	 
Id111	3280.702648	3132.614396	1248.596591	1701.434066	 
Id112	7242.134591	4396.346509	1320.265	1615.665	 
Id113	6907.279361	4072.29184	1115.314286	1494.765	 
Id114	1971.589063	2931.299228	1112.24	1613.355	 
